profile_id,variant,timely_success,eventual_success
profile_000088,control,1,1
profile_000089,control,1,1
profile_000090,control,1,1
profile_000091,treatment,0,0
profile_000092,control,0,1
profile_000093,treatment,1,1
profile_000094,treatment,0,1
profile_000095,control,0,1
profile_000096,treatment,1,1
profile_000097,control,1,1
profile_000098,treatment,1,1
profile_000099,treatment,0,0
profile_000100,control,1,1
profile_000101,treatment,0,1
profile_000102,treatment,1,1
profile_000103,treatment,0,0
profile_000104,control,1,1
profile_000105,treatment,1,1
profile_000106,treatment,1,1
profile_000107,treatment,0,1
profile_000108,control,0,0
profile_000109,treatment,1,1
profile_000110,control,0,1
profile_000111,control,0,0
profile_000112,treatment,1,1
profile_000113,treatment,1,1
profile_000114,control,1,1
profile_000115,control,0,1
profile_000116,treatment,0,1
profile_000117,treatment,0,1
profile_000118,treatment,1,1
profile_000119,treatment,0,0
profile_000120,control,1,1
profile_000121,control,0,0
profile_000122,control,1,1
profile_000123,control,1,1
profile_000124,control,0,0
profile_000125,treatment,0,1
profile_000126,control,0,0
profile_000127,treatment,1,1
profile_000128,control,1,1
profile_000129,treatment,0,0
profile_000130,treatment,0,0
profile_000131,control,1,1
profile_000132,control,1,1
profile_000133,control,1,1
profile_000134,treatment,1,1
profile_000135,control,1,1
profile_000136,control,0,0
profile_000137,treatment,1,1
profile_000138,control,0,1
profile_000139,control,0,1
profile_000140,control,0,1
profile_000141,treatment,1,1
profile_000142,control,0,0
profile_000143,treatment,1,1
profile_000144,control,1,1
profile_000145,treatment,0,0
profile_000146,treatment,1,1
profile_000147,treatment,1,1
profile_000148,treatment,1,1
profile_000149,treatment,1,1
profile_000150,control,0,0
profile_000151,treatment,1,1
profile_000152,treatment,0,1
profile_000153,treatment,0,0
profile_000154,control,1,1
profile_000155,control,0,1
profile_000156,treatment,1,1
profile_000157,control,1,1
profile_000158,treatment,1,1
profile_000159,treatment,1,1
profile_000160,treatment,0,0
profile_000161,treatment,1,1
profile_000162,control,1,1
profile_000163,treatment,0,1
profile_000164,control,0,1
profile_000165,treatment,1,1
profile_000166,treatment,0,1
profile_000167,control,0,1
profile_000168,control,1,1
profile_000169,treatment,0,0
profile_000170,treatment,1,1
profile_000171,control,0,1
profile_000172,control,1,1
profile_000173,treatment,0,1
profile_000174,control,1,1
profile_000175,control,1,1
profile_000176,control,0,0
profile_000177,treatment,1,1
profile_000178,control,1,1
profile_000179,treatment,1,1
profile_000180,control,0,1
profile_000181,control,0,0
profile_000182,control,1,1
profile_000183,treatment,1,1
profile_000184,treatment,0,1
profile_000185,treatment,1,1
profile_000186,treatment,1,1
profile_000187,control,0,0
profile_000188,control,1,1
profile_000189,treatment,1,1
profile_000190,treatment,0,0
profile_000191,treatment,1,1
profile_000192,treatment,1,1
profile_000193,treatment,1,1
profile_000194,control,1,1
profile_000195,treatment,0,1
profile_000196,treatment,1,1
profile_000197,treatment,1,1
profile_000198,control,0,0
profile_000199,treatment,1,1
profile_000200,control,0,0
profile_000201,treatment,1,1
profile_000202,control,1,1
profile_000203,treatment,0,1
profile_000204,treatment,0,1
profile_000205,treatment,1,1
profile_000206,treatment,1,1
profile_000207,treatment,1,1
profile_000208,control,0,1
profile_000209,treatment,0,1
profile_000210,treatment,0,1
profile_000211,control,1,1
profile_000212,control,0,1
profile_000213,treatment,1,1
profile_000214,control,0,0
profile_000215,control,1,1
profile_000216,control,1,1
profile_000217,control,0,1
profile_000218,control,0,1
profile_000219,treatment,1,1
profile_000220,control,1,1
profile_000221,treatment,1,1
profile_000222,control,0,0
profile_000223,control,0,1
profile_000224,control,0,1
profile_000225,control,1,1
profile_000226,treatment,1,1
profile_000227,treatment,1,1
profile_000228,treatment,1,1
profile_000229,treatment,0,0
profile_000230,treatment,1,1
profile_000231,treatment,0,1
profile_000232,control,1,1
profile_000233,treatment,0,1
profile_000234,treatment,0,1
profile_000235,control,0,0
profile_000236,treatment,1,1
profile_000237,control,1,1
profile_000238,treatment,1,1
profile_000239,control,1,1
profile_000240,control,0,1
profile_000241,control,1,1
profile_000242,treatment,1,1
profile_000243,control,0,0
profile_000244,control,0,0
profile_000245,control,1,1
profile_000246,control,1,1
profile_000247,treatment,1,1
profile_000248,control,0,1
profile_000249,control,0,1
profile_000250,control,1,1
profile_000251,control,0,0
profile_000252,control,0,1
profile_000253,control,1,1
profile_000254,treatment,1,1
profile_000255,control,1,1
profile_000256,treatment,1,1
profile_000257,treatment,0,1
profile_000258,treatment,1,1
profile_000259,treatment,1,1
profile_000260,treatment,1,1
profile_000261,treatment,1,1
profile_000262,control,1,1
profile_000263,treatment,0,1
profile_000264,treatment,1,1
profile_000265,treatment,1,1
profile_000266,control,0,0
profile_000267,control,0,1
profile_000268,treatment,0,0
profile_000269,control,1,1
profile_000270,control,0,0
profile_000271,control,1,1
profile_000272,control,1,1
profile_000273,control,1,1
profile_000274,treatment,1,1
profile_000275,treatment,1,1
profile_000276,control,1,1
profile_000277,treatment,1,1
profile_000278,control,0,1
profile_000279,control,0,1
profile_000280,control,0,0
profile_000281,control,1,1
profile_000282,treatment,1,1
profile_000283,treatment,1,1
profile_000284,control,1,1
profile_000285,control,1,1
profile_000286,treatment,1,1
profile_000287,treatment,1,1
profile_000288,treatment,0,0
profile_000289,treatment,1,1
profile_000290,control,1,1
profile_000291,treatment,1,1
profile_000292,control,1,1
profile_000293,control,1,1
profile_000294,control,1,1
profile_000295,control,1,1
profile_000296,control,0,0
profile_000297,treatment,1,1
profile_000298,control,0,1
profile_000299,control,1,1
profile_000300,treatment,1,1
profile_000301,treatment,0,0
profile_000302,control,1,1
profile_000303,treatment,1,1
profile_000304,treatment,1,1
profile_000305,control,1,1
profile_000306,control,0,0
profile_000307,treatment,0,1
profile_000308,control,1,1
profile_000309,control,1,1
profile_000310,treatment,1,1
profile_000311,control,1,1
profile_000312,treatment,1,1
profile_000313,control,1,1
profile_000314,control,1,1
profile_000315,treatment,1,1
profile_000316,control,0,0
profile_000317,treatment,0,0
profile_000318,treatment,0,1
profile_000319,control,0,0
profile_000320,treatment,1,1
profile_000321,treatment,1,1
profile_000322,treatment,1,1
profile_000323,control,1,1
profile_000324,treatment,0,0
profile_000325,treatment,1,1
profile_000326,treatment,1,1
profile_000327,treatment,0,1
profile_000328,control,1,1
profile_000329,control,0,1
profile_000330,control,1,1
profile_000331,control,1,1
profile_000332,treatment,1,1
profile_000333,treatment,0,1
profile_000334,treatment,1,1
profile_000335,treatment,1,1
profile_000336,control,0,1
profile_000337,control,1,1
profile_000338,control,0,0
profile_000339,control,0,0
profile_000340,treatment,0,1
profile_000341,control,0,1
profile_000342,treatment,1,1
profile_000343,treatment,1,1
profile_000344,treatment,1,1
profile_000345,treatment,1,1
profile_000346,treatment,1,1
profile_000347,treatment,1,1
profile_000348,treatment,1,1
profile_000349,control,0,1
profile_000350,control,1,1
profile_000351,control,1,1
profile_000352,treatment,0,1
profile_000353,control,1,1
profile_000354,control,0,0
profile_000355,control,1,1
profile_000356,treatment,1,1
profile_000357,treatment,0,1
profile_000358,treatment,0,1
profile_000359,control,0,0
profile_000360,treatment,1,1
profile_000361,control,0,0
profile_000362,treatment,1,1
profile_000363,treatment,0,0
profile_000364,control,0,1
profile_000365,control,0,1
profile_000366,control,1,1
profile_000367,treatment,1,1
profile_000368,control,1,1
profile_000369,treatment,1,1
profile_000370,control,1,1
profile_000371,control,0,0
profile_000372,control,1,1
profile_000373,treatment,1,1
profile_000374,control,1,1
profile_000375,control,1,1
profile_000376,treatment,0,1
profile_000377,treatment,1,1
profile_000378,control,0,1
profile_000379,control,0,0
profile_000380,control,1,1
profile_000381,treatment,0,1
profile_000382,treatment,1,1
profile_000383,treatment,1,1
profile_000384,treatment,1,1
profile_000385,treatment,1,1
profile_000386,treatment,0,0
profile_000387,control,0,0
profile_000388,control,1,1
profile_000389,treatment,1,1
profile_000390,treatment,1,1
profile_000391,control,1,1
profile_000392,control,1,1
profile_000393,control,0,1
profile_000394,treatment,0,1
profile_000395,control,0,0
profile_000396,treatment,1,1
profile_000397,treatment,1,1
profile_000398,control,1,1
profile_000399,control,1,1
profile_000400,treatment,1,1
profile_000401,control,0,0
profile_000402,treatment,0,0
profile_000403,control,1,1
profile_000404,treatment,1,1
profile_000405,control,0,0
profile_000406,control,1,1
profile_000407,treatment,1,1
profile_000408,treatment,0,0
profile_000409,control,1,1
profile_000410,control,0,0
profile_000411,control,1,1
profile_000412,treatment,0,0
profile_000413,treatment,1,1
profile_000414,treatment,1,1
profile_000415,control,1,1
profile_000416,treatment,0,1
profile_000417,treatment,1,1
profile_000418,treatment,1,1
profile_000419,treatment,1,1
profile_000420,control,1,1
profile_000421,control,1,1
profile_000422,control,1,1
profile_000423,treatment,1,1
profile_000424,treatment,1,1
profile_000425,treatment,0,1
profile_000426,treatment,0,1
profile_000427,control,0,1
profile_000428,treatment,1,1
profile_000429,treatment,1,1
profile_000430,treatment,1,1
profile_000431,treatment,1,1
profile_000432,treatment,1,1
profile_000433,treatment,0,1
profile_000434,treatment,1,1
profile_000435,treatment,1,1
profile_000436,treatment,0,1
profile_000437,treatment,1,1
profile_000438,control,0,1
profile_000439,treatment,0,1
profile_000440,control,0,0
profile_000441,treatment,1,1
profile_000442,control,1,1
profile_000443,treatment,1,1
profile_000444,treatment,0,0
profile_000445,control,0,1
profile_000446,control,0,1
profile_000447,control,1,1
profile_000448,treatment,1,1
profile_000449,treatment,1,1
profile_000450,treatment,1,1
profile_000451,treatment,1,1
profile_000452,control,0,0
profile_000453,control,0,1
profile_000454,control,1,1
profile_000455,control,1,1
profile_000456,treatment,1,1
profile_000457,control,1,1
profile_000458,control,1,1
profile_000459,treatment,1,1
profile_000460,treatment,1,1
profile_000461,treatment,0,1
profile_000462,treatment,1,1
profile_000463,treatment,1,1
profile_000464,treatment,0,1
profile_000465,control,0,0
profile_000466,control,1,1
profile_000467,treatment,1,1
profile_000468,control,1,1
profile_000469,treatment,0,1
profile_000470,treatment,1,1
profile_000471,control,1,1
profile_000472,treatment,1,1
profile_000473,control,1,1
profile_000474,control,0,1
profile_000475,control,0,0
profile_000476,control,1,1
profile_000477,control,1,1
profile_000478,treatment,0,1
profile_000479,control,1,1
profile_000480,treatment,1,1
profile_000481,control,0,0
profile_000482,treatment,0,1
profile_000483,treatment,1,1
profile_000484,treatment,0,0
profile_000485,control,1,1
profile_000486,treatment,0,0
profile_000487,control,1,1
profile_000488,control,1,1
profile_000489,control,1,1
profile_000490,treatment,1,1
profile_000491,treatment,1,1
profile_000492,treatment,0,0
profile_000493,control,0,0
profile_000494,control,1,1
profile_000495,treatment,1,1
profile_000496,control,0,0
profile_000497,control,1,1
profile_000498,control,1,1
profile_000499,control,1,1
profile_000500,treatment,1,1
profile_000501,control,1,1
profile_000502,treatment,1,1
profile_000503,treatment,1,1
profile_000504,treatment,1,1
profile_000505,treatment,1,1
profile_000506,treatment,1,1
profile_000507,treatment,1,1
profile_000508,treatment,1,1
profile_000509,treatment,0,1
profile_000510,control,1,1
profile_000511,control,1,1
profile_000512,treatment,1,1
profile_000513,treatment,0,1
profile_000514,treatment,1,1
profile_000515,treatment,0,1
profile_000516,treatment,1,1
profile_000517,control,1,1
profile_000518,treatment,1,1
profile_000519,control,1,1
profile_000520,treatment,1,1
profile_000521,treatment,1,1
profile_000522,control,0,0
profile_000523,control,1,1
profile_000524,treatment,0,0
profile_000525,control,1,1
profile_000526,treatment,1,1
profile_000527,control,1,1
profile_000528,control,0,1
profile_000529,treatment,0,1
profile_000530,treatment,1,1
profile_000531,control,1,1
profile_000532,control,1,1
profile_000533,control,0,0
profile_000534,treatment,0,1
profile_000535,control,0,1
profile_000536,treatment,1,1
profile_000537,treatment,0,0
profile_000538,treatment,1,1
profile_000539,treatment,1,1
profile_000540,treatment,1,1
profile_000541,control,0,0
profile_000542,treatment,1,1
profile_000543,control,1,1
profile_000544,control,1,1
profile_000545,treatment,1,1
profile_000546,control,1,1
profile_000547,control,1,1
profile_000548,control,1,1
profile_000549,treatment,0,0
profile_000550,treatment,1,1
profile_000551,control,1,1
profile_000552,treatment,1,1
profile_000553,treatment,1,1
profile_000554,treatment,1,1
profile_000555,control,0,0
profile_000556,treatment,1,1
profile_000557,treatment,0,1
profile_000558,treatment,1,1
profile_000559,treatment,0,1
profile_000560,control,1,1
profile_000561,control,1,1
profile_000562,treatment,1,1
profile_000563,treatment,1,1
profile_000564,treatment,1,1
profile_000565,treatment,0,0
profile_000566,control,1,1
profile_000567,control,1,1
profile_000568,control,0,0
profile_000569,treatment,0,0
profile_000570,control,1,1
profile_000571,treatment,1,1
profile_000572,control,0,1
profile_000573,treatment,1,1
profile_000574,treatment,1,1
profile_000575,treatment,0,0
profile_000576,control,0,0
profile_000577,control,0,0
profile_000578,control,0,0
profile_000579,treatment,1,1
profile_000580,treatment,0,1
profile_000581,control,0,1
profile_000582,treatment,0,0
profile_000583,treatment,1,1
profile_000584,control,0,1
profile_000585,treatment,1,1
profile_000586,control,1,1
profile_000587,treatment,1,1
profile_000588,treatment,0,1
profile_000589,control,0,1
profile_000590,control,1,1
profile_000591,control,0,0
profile_000592,control,1,1
profile_000593,treatment,1,1
profile_000594,control,0,0
profile_000595,control,0,1
profile_000596,control,1,1
profile_000597,treatment,1,1
profile_000598,treatment,1,1
profile_000599,control,1,1
profile_000600,control,1,1
profile_000601,treatment,0,0
profile_000602,control,1,1
profile_000603,control,1,1
profile_000604,control,0,1
profile_000605,control,0,0
profile_000606,control,0,0
profile_000607,treatment,0,1
profile_000608,control,0,1
profile_000609,control,1,1
profile_000610,treatment,1,1
profile_000611,treatment,0,1
profile_000612,treatment,1,1
profile_000613,control,0,1
profile_000614,control,0,1
profile_000615,treatment,1,1
profile_000616,control,1,1
profile_000617,treatment,1,1
profile_000618,control,0,1
profile_000619,control,1,1
profile_000620,treatment,1,1
profile_000621,treatment,0,1
profile_000622,treatment,1,1
profile_000623,control,0,0
profile_000624,control,1,1
profile_000625,treatment,1,1
profile_000626,control,1,1
profile_000627,treatment,1,1
profile_000628,treatment,1,1
profile_000629,treatment,1,1
profile_000630,treatment,1,1
profile_000631,control,1,1
profile_000632,control,1,1
profile_000633,control,0,0
profile_000634,treatment,1,1
profile_000635,treatment,1,1
profile_000636,control,1,1
profile_000637,control,0,1
profile_000638,control,1,1
profile_000639,control,0,0
profile_000640,treatment,1,1
profile_000641,control,1,1
profile_000642,control,0,1
profile_000643,control,1,1
profile_000644,treatment,0,1
profile_000645,control,0,1
profile_000646,control,0,1
profile_000647,treatment,1,1
profile_000648,treatment,1,1
profile_000649,control,0,0
profile_000650,treatment,0,0
profile_000651,control,0,0
profile_000652,treatment,1,1
profile_000653,treatment,0,0
profile_000654,control,0,1
profile_000655,treatment,1,1
profile_000656,treatment,0,1
profile_000657,treatment,1,1
profile_000658,treatment,1,1
profile_000659,treatment,0,1
profile_000660,treatment,0,0
profile_000661,treatment,1,1
profile_000662,control,1,1
profile_000663,control,0,0
profile_000664,control,0,1
profile_000665,treatment,1,1
profile_000666,control,1,1
profile_000667,treatment,0,0
profile_000668,treatment,1,1
profile_000669,treatment,1,1
profile_000670,control,1,1
profile_000671,control,1,1
profile_000672,control,1,1
profile_000673,treatment,1,1
profile_000674,treatment,1,1
profile_000675,control,1,1
profile_000676,treatment,1,1
profile_000677,control,1,1
profile_000678,treatment,1,1
profile_000679,treatment,0,0
profile_000680,treatment,1,1
profile_000681,treatment,1,1
profile_000682,treatment,1,1
profile_000683,control,1,1
profile_000684,control,1,1
profile_000685,treatment,1,1
profile_000686,control,1,1
profile_000687,treatment,1,1
profile_000688,treatment,0,0
profile_000689,control,1,1
profile_000690,control,0,0
profile_000691,treatment,1,1
profile_000692,control,0,1
profile_000693,control,0,1
profile_000694,control,1,1
profile_000695,treatment,1,1
profile_000696,control,1,1
profile_000697,treatment,1,1
profile_000698,control,1,1
profile_000699,treatment,1,1
profile_000700,control,1,1
profile_000701,control,1,1
profile_000702,control,0,1
profile_000703,treatment,1,1
profile_000704,treatment,1,1
profile_000705,control,0,1
profile_000706,treatment,1,1
profile_000707,control,0,0
profile_000708,control,0,1
profile_000709,treatment,1,1
profile_000710,control,0,1
profile_000711,treatment,0,0
profile_000712,treatment,1,1
profile_000713,control,1,1
profile_000714,control,0,1
profile_000715,control,1,1
profile_000716,control,1,1
profile_000717,control,0,0
profile_000718,control,1,1
profile_000719,control,0,1
profile_000720,control,1,1
profile_000721,treatment,0,0
profile_000722,control,1,1
profile_000723,treatment,0,1
profile_000724,treatment,0,0
profile_000725,control,0,0
profile_000726,treatment,1,1
profile_000727,treatment,1,1
profile_000728,treatment,1,1
profile_000729,treatment,1,1
profile_000730,treatment,0,0
profile_000731,treatment,0,0
profile_000732,treatment,0,1
profile_000733,control,1,1
profile_000734,control,1,1
profile_000735,treatment,0,0
profile_000736,control,0,0
profile_000737,treatment,0,0
profile_000738,treatment,1,1
profile_000739,control,0,0
profile_000740,treatment,1,1
profile_000741,control,1,1
profile_000742,control,0,0
profile_000743,control,1,1
profile_000744,treatment,0,1
profile_000745,treatment,1,1
profile_000746,treatment,0,1
profile_000747,treatment,1,1
profile_000748,treatment,0,0
profile_000749,treatment,1,1
profile_000750,control,0,0
profile_000751,control,0,1
profile_000752,control,1,1
profile_000753,treatment,1,1
profile_000754,treatment,0,0
profile_000755,control,0,0
profile_000756,treatment,0,1
profile_000757,treatment,1,1
profile_000758,control,0,1
profile_000759,control,1,1
profile_000760,control,0,0
profile_000761,treatment,0,0
profile_000762,control,0,1
profile_000763,treatment,0,0
profile_000764,treatment,0,1
profile_000765,treatment,1,1
profile_000766,control,1,1
profile_000767,control,1,1
profile_000768,treatment,1,1
profile_000769,treatment,1,1
profile_000770,control,1,1
profile_000771,control,1,1
profile_000772,treatment,0,1
profile_000773,control,0,1
profile_000774,control,1,1
profile_000775,control,0,0
profile_000776,treatment,1,1
profile_000777,control,1,1
profile_000778,treatment,0,0
profile_000779,treatment,1,1
profile_000780,treatment,1,1
profile_000781,treatment,0,1
profile_000782,treatment,1,1
profile_000783,treatment,0,1
profile_000784,treatment,1,1
profile_000785,treatment,1,1
profile_000786,control,1,1
profile_000787,control,1,1
profile_000788,control,0,0
profile_000789,treatment,0,1
profile_000790,control,1,1
profile_000791,control,1,1
profile_000792,control,0,1
profile_000793,treatment,0,1
profile_000794,control,1,1
profile_000795,control,0,1
profile_000796,treatment,0,1
profile_000797,treatment,1,1
profile_000798,control,1,1
profile_000799,treatment,1,1
profile_000800,control,0,0
profile_000801,treatment,0,1
profile_000802,control,1,1
profile_000803,control,0,1
profile_000804,treatment,0,1
profile_000805,treatment,1,1
profile_000806,control,1,1
profile_000807,treatment,1,1
profile_000808,control,0,0
profile_000809,treatment,1,1
profile_000810,treatment,1,1
profile_000811,control,0,0
profile_000812,treatment,1,1
profile_000813,treatment,1,1
profile_000814,treatment,0,1
profile_000815,control,1,1
profile_000816,control,1,1
profile_000817,treatment,1,1
profile_000818,control,1,1
profile_000819,treatment,0,0
profile_000820,control,1,1
profile_000821,control,1,1
profile_000822,control,0,0
profile_000823,treatment,1,1
profile_000824,treatment,0,0
profile_000825,treatment,0,1
profile_000826,control,0,1
profile_000827,control,1,1
profile_000828,treatment,1,1
profile_000829,control,1,1
profile_000830,control,0,1
profile_000831,control,0,1
profile_000832,treatment,1,1
profile_000833,treatment,1,1
profile_000834,control,0,0
profile_000835,control,1,1
profile_000836,treatment,1,1
profile_000837,control,1,1
profile_000838,control,1,1
profile_000839,control,0,0
profile_000840,treatment,1,1
profile_000841,control,0,0
profile_000842,treatment,0,0
profile_000843,control,0,0
profile_000844,treatment,1,1
profile_000845,control,0,1
profile_000846,treatment,0,1
profile_000847,control,0,0
profile_000848,treatment,0,1
profile_000849,treatment,1,1
profile_000850,treatment,0,1
profile_000851,treatment,0,0
profile_000852,treatment,1,1
profile_000853,treatment,1,1
profile_000854,treatment,0,1
profile_000855,control,1,1
profile_000856,control,1,1
profile_000857,control,1,1
profile_000858,control,0,0
profile_000859,treatment,0,0
profile_000860,control,1,1
profile_000861,control,1,1
profile_000862,control,0,0
profile_000863,treatment,1,1
profile_000864,treatment,0,0
profile_000865,control,1,1
profile_000866,control,1,1
profile_000867,control,1,1
profile_000868,treatment,1,1
profile_000869,treatment,0,1
profile_000870,treatment,0,1
profile_000871,control,0,1
profile_000872,treatment,0,0
profile_000873,control,1,1
profile_000874,control,0,0
profile_000875,treatment,0,0
profile_000876,control,0,1
profile_000877,control,1,1
profile_000878,treatment,0,0
profile_000879,control,1,1
profile_000880,treatment,1,1
profile_000881,control,1,1
profile_000882,control,1,1
profile_000883,control,0,1
profile_000884,control,1,1
profile_000885,treatment,1,1
profile_000886,treatment,0,1
profile_000887,control,1,1
profile_000888,treatment,0,1
profile_000889,treatment,1,1
profile_000890,control,1,1
profile_000891,control,1,1
profile_000892,control,1,1
profile_000893,control,0,1
profile_000894,control,1,1
profile_000895,treatment,0,0
profile_000896,control,1,1
profile_000897,treatment,1,1
profile_000898,treatment,1,1
profile_000899,treatment,1,1
profile_000900,treatment,0,1
profile_000901,treatment,1,1
profile_000902,treatment,0,1
profile_000903,treatment,1,1
profile_000904,treatment,1,1
profile_000905,treatment,1,1
profile_000906,treatment,1,1
profile_000907,treatment,1,1
profile_000908,control,0,1
profile_000909,treatment,0,1
profile_000910,control,0,1
profile_000911,control,1,1
profile_000912,control,1,1
profile_000913,treatment,0,1
profile_000914,treatment,0,1
profile_000915,control,1,1
profile_000916,control,0,0
profile_000917,control,1,1
profile_000918,treatment,1,1
profile_000919,treatment,1,1
profile_000920,control,1,1
profile_000921,treatment,0,1
profile_000922,control,1,1
profile_000923,control,0,1
profile_000924,control,0,0
profile_000925,treatment,0,1
profile_000926,control,0,1
profile_000927,control,0,1
profile_000928,treatment,0,0
profile_000929,treatment,1,1
profile_000930,control,1,1
profile_000931,control,1,1
profile_000932,treatment,0,0
profile_000933,control,1,1
profile_000934,control,0,0
profile_000935,control,1,1
profile_000936,treatment,1,1
profile_000937,treatment,1,1
profile_000938,control,0,1
profile_000939,control,1,1
profile_000940,treatment,1,1
profile_000941,control,1,1
profile_000942,control,0,1
profile_000943,treatment,1,1
profile_000944,treatment,0,0
profile_000945,treatment,1,1
profile_000946,control,1,1
profile_000947,treatment,0,0
profile_000948,control,1,1
profile_000949,control,1,1
profile_000950,control,0,1
profile_000951,treatment,0,1
profile_000952,treatment,1,1
profile_000953,control,1,1
profile_000954,treatment,1,1
profile_000955,treatment,1,1
profile_000956,control,1,1
profile_000957,control,1,1
profile_000958,treatment,0,0
profile_000959,control,0,0
profile_000960,treatment,1,1
profile_000961,control,1,1
profile_000962,control,0,0
profile_000963,control,1,1
profile_000964,treatment,1,1
profile_000965,control,0,1
profile_000966,treatment,1,1
profile_000967,treatment,0,1
profile_000968,treatment,1,1
profile_000969,treatment,0,1
profile_000970,treatment,1,1
profile_000971,control,1,1
profile_000972,treatment,0,0
profile_000973,control,0,0
profile_000974,treatment,0,1
profile_000975,treatment,0,1
profile_000976,treatment,1,1
profile_000977,control,0,1
profile_000978,control,1,1
profile_000979,control,1,1
profile_000980,control,0,0
profile_000981,treatment,1,1
profile_000982,treatment,1,1
profile_000983,treatment,1,1
profile_000984,treatment,0,0
profile_000985,treatment,0,1
profile_000986,control,0,1
profile_000987,treatment,1,1
profile_000988,control,1,1
profile_000989,treatment,1,1
profile_000990,treatment,1,1
profile_000991,treatment,1,1
profile_000992,treatment,1,1
profile_000993,control,0,0
profile_000994,control,1,1
profile_000995,treatment,1,1
profile_000996,control,1,1
profile_000997,treatment,1,1
profile_000998,treatment,0,1
profile_000999,control,1,1
profile_001000,treatment,0,0
profile_001001,control,0,0
profile_001002,control,1,1
profile_001003,treatment,1,1
profile_001004,control,0,0
profile_001005,treatment,1,1
profile_001006,control,0,0
profile_001007,treatment,1,1
profile_001008,control,0,1
profile_001009,control,1,1
profile_001010,control,0,1
profile_001011,control,1,1
profile_001012,treatment,1,1
profile_001013,control,0,1
profile_001014,control,0,0
profile_001015,treatment,1,1
profile_001016,treatment,0,1
profile_001017,treatment,0,1
profile_001018,control,1,1
profile_001019,control,1,1
profile_001020,control,0,0
profile_001021,treatment,1,1
profile_001022,treatment,1,1
profile_001023,treatment,1,1
profile_001024,control,0,1
profile_001025,treatment,0,1
profile_001026,treatment,1,1
profile_001027,treatment,1,1
profile_001028,control,1,1
profile_001029,treatment,1,1
profile_001030,treatment,1,1
profile_001031,control,0,1
profile_001032,control,1,1
profile_001033,treatment,0,0
profile_001034,treatment,1,1
profile_001035,treatment,1,1
profile_001036,treatment,1,1
profile_001037,control,1,1
profile_001038,control,0,0
profile_001039,treatment,1,1
profile_001040,treatment,1,1
profile_001041,control,1,1
profile_001042,treatment,1,1
profile_001043,control,1,1
profile_001044,treatment,1,1
profile_001045,treatment,1,1
profile_001046,control,1,1
profile_001047,treatment,1,1
profile_001048,control,1,1
profile_001049,control,0,0
profile_001050,control,1,1
profile_001051,treatment,0,1
profile_001052,control,0,1
profile_001053,treatment,1,1
profile_001054,control,1,1
profile_001055,control,1,1
profile_001056,control,0,1
profile_001057,treatment,1,1
profile_001058,treatment,1,1
profile_001059,control,1,1
profile_001060,control,0,1
profile_001061,control,1,1
profile_001062,treatment,1,1
profile_001063,control,0,1
profile_001064,treatment,1,1
profile_001065,treatment,1,1
profile_001066,treatment,1,1
profile_001067,control,1,1
profile_001068,treatment,0,1
profile_001069,control,1,1
profile_001070,control,0,0
profile_001071,treatment,1,1
